,user_id,name,gender,address,date_of_birth,email_address,height_cm,weight_kg,account_create_date,bike_serial,email,number_of_visit,first_purchase_date,original_source
228,228,Dr Derek Johnson,male,"1 Linda mount, Jessicaberg, SS7 1EL",24/04/1949,d*******d@yahoo.com,154,52,15/12/2021,SN0228,d*******d@yahoo.com,15,04/12/2021,offline
248,248,Sara Griffin,female,"0 Katie vista, Davieshaven, ST5 5AT",24/01/1991,s*******gr@hotmail.com,189,64,15/12/2021,SN0248,s*******gr@hotmail.com,15,04/12/2021,direct
120,120,Hilary Watts,female,"Flat 45, Morgan row, West Debra, EX4 6EA",26/08/1970,h******wa@gmail.com,187,73,13/12/2021,SN0120,h******wa@gmail.com,13,05/12/2021,offline
225,225,Dennis Browne,male,"Flat 30, Christian vista, Port Maurice, OL16 4AX",23/04/1970,d*******b@hotmail.com,162,73,23/12/2021,SN0225,d*******b@hotmail.com,12,05/12/2021,offline
95,95,Shane Lewis,male,"250 White green, Terrystad, OX12 0DE",20/01/2001,s*****l@hotmail.com,171,64,16/12/2021,SN0095,s*****l@hotmail.com,13,06/12/2021,google ads
122,122,Justin Lee,male,"13 Arnold orchard, Port Emmaland, RG12 7WQ",13/04/1972,j******le25@yahoo.com,167,50,01/03/2022,SN0122,j******le25@yahoo.com,11,06/12/2021,google ads
34,34,Olivia Carter,female,"915 Webb flat, Davisonborough, GU4 7TH",24/03/1975,o*******ca@gmail.com,155,48,21/12/2021,SN0034,o*******ca@gmail.com,10,07/12/2021,direct
68,68,Elliott Rose,male,"Flat 83j, Evans plains, Scottstad, CA11 0DN",26/10/1997,e*****r37@hotmail.com,173,44,18/12/2021,SN0068,e*****r37@hotmail.com,14,08/12/2021,offline
77,77,Dr Grace Parker,female,"4 Kimberley harbors, South Darren, SR3 4ES",25/11/1973,d*******gr@yahoo.com,173,53,15/01/2022,SN0077,d*******gr@yahoo.com,12,08/12/2021,google ads
140,140,Jasmine Law,female,"Flat 4, Linda center, South Sara, PE37 8GB",13/11/2000,j*******l@yahoo.com,169,65,16/12/2021,SN0140,j*******l@yahoo.com,14,08/12/2021,offline
173,173,Allan Barton,male,"90 Russell via, Flynnview, LD3 9DW",18/10/1980,a******b75@gmail.com,165,68,19/12/2021,SN0173,a******b75@gmail.com,11,08/12/2021,offline
72,72,Stacey Smith,female,"2 Brown walk, West Darren, ST5 6DB",24/11/1981,s*****s@gmail.com,154,49,24/12/2021,SN0072,s*****s@gmail.com,12,09/12/2021,google ads
164,164,Mr Phillip Robinson,male,"906 Hope shoal, New Joel, HU3 5PB",26/08/1948,m*******ph33@gmail.com,155,55,30/12/2021,SN0164,m*******ph33@gmail.com,16,09/12/2021,google ads
210,210,Stephen Bell,male,"373 Nicola mission, West Karlland, LS8 5RL",07/11/1970,s*****be@hotmail.com,174,72,18/01/2022,SN0210,s*****be@hotmail.com,17,09/12/2021,social media
20,20,Joe Gardner,male,"Studio 9, Danny fall, South Brianbury, PA2 0TS",05/05/1955,j*******g@gmail.com,162,60,01/01/2022,SN0020,j*******g@gmail.com,14,11/12/2021,social media
104,104,Mr Steven Clarke,male,"2 Gray loaf, Kerrytown, WS10 0BX",17/01/1998,m****s71@gmail.com,159,55,22/01/2022,SN0104,m****s71@gmail.com,9,11/12/2021,offline
131,131,Reece Morris-Lowe,male,"Studio 56, Mitchell viaduct, Matthewsmouth, GU7 1TL",19/05/1994,r****m@gmail.com,180,74,20/01/2022,SN0131,r****m@gmail.com,8,11/12/2021,direct
82,82,Terence Birch,male,"Studio 45, Simpson meadow, Stephensonville, YO32 2YX",27/07/1971,t*****bi@yahoo.com,168,47,01/03/2022,SN0082,t*****bi@yahoo.com,11,12/12/2021,direct
93,93,Derek Young,male,"70 Denis parkways, Port Connor, RM18 8FA",19/04/1956,d******y@gmail.com,181,72,22/01/2022,SN0093,d******y@gmail.com,6,12/12/2021,direct
178,178,Carly Gregory-Brown,female,"Flat 10, Harding run, Port Jeffreytown, ML9 3LT",13/12/1944,c*******gr@hotmail.com,178,66,29/12/2021,SN0178,c*******gr@hotmail.com,11,15/12/2021,offline
8,8,Connor Bell,male,"8 Josh ranch, Daviesstad, BD10 9HX",26/10/1961,c****be@gmail.com,184,74,23/01/2022,SN0008,c****be@gmail.com,14,16/12/2021,direct
5,5,Tony Moore,male,"Flat 4, Miah plaza, New Judithville, FY1 3AA",10/11/2001,t******m64@yahoo.com,181,75,21/01/2022,SN0005,t******m64@yahoo.com,22,17/12/2021,direct
79,79,Dr Alison O'Connor,female,"Studio 11, Robinson lake, Lake Rickyton, L69 2EE",03/04/1988,d*******a@yahoo.com,165,51,22/01/2022,SN0079,d*******a@yahoo.com,13,17/12/2021,direct
142,142,Kyle Wilson,female,"Flat 7, Shane summit, Natashaland, MK40 2HZ",08/10/1959,k******wi@yahoo.com,176,102,01/01/2022,SN0142,k******wi@yahoo.com,12,17/12/2021,google ads
31,31,Frank Thorpe,male,"Flat 74Z, Young plain, Georgemouth, CH7 3ER",15/12/1946,f****t@hotmail.com,186,65,29/12/2021,SN0031,f****t@hotmail.com,11,18/12/2021,offline
172,172,Mandy Williams,female,"Flat 69, Oliver ridge, Johnmouth, LA12 7JJ",17/12/1994,m****wi@hotmail.com,180,84,13/01/2022,SN0172,m****wi@hotmail.com,14,18/12/2021,offline
218,218,Michelle Harrison-Warren,female,"Flat 5, Barnes isle, North Louismouth, CT15 7BE",12/08/1945,m*****ha78@yahoo.com,181,75,30/01/2022,SN0218,m*****ha78@yahoo.com,17,19/12/2021,google ads
46,46,Jean Robinson,male,"0 Turnbull mountain, West Ross, S6 2DA",18/07/1962,j*******r@gmail.com,162,65,20/01/2022,SN0046,j*******r@gmail.com,3,20/12/2021,google ads
118,118,Dr Jonathan Hall,male,"Studio 7, Glen cove, North Gareth, WV10 8TF",12/08/1950,d*****jo9@gmail.com,171,73,02/02/2022,SN0118,d*****jo9@gmail.com,20,20/12/2021,offline
128,128,Ms Donna Howarth,female,"3 Marsh turnpike, Port Dominicport, NN2 6BT",12/09/1966,m****d@gmail.com,161,59,31/12/2021,SN0128,m****d@gmail.com,11,20/12/2021,social media
130,130,Alison Robinson,female,"Studio 64, Miah ports, West Brian, CF62 7NB",23/09/1943,a******ro@yahoo.com,172,71,01/01/2022,SN0130,a******ro@yahoo.com,9,20/12/2021,google ads
199,199,Daniel Bell,male,"361 Georgina plains, New Julie, WD4 9JE",07/05/1988,d*****b@hotmail.com,176,61,28/01/2022,SN0199,d*****b@hotmail.com,6,20/12/2021,google ads
196,196,Wayne Clark,male,"154 Peter drive, Port Jack, IP17 2HB",05/02/1969,w*******cl40@yahoo.com,162,68,23/01/2022,SN0196,w*******cl40@yahoo.com,11,21/12/2021,offline
197,197,Mr Mohammed Fisher,male,"81 John key, East Cameron, PL1 1DS",02/03/1953,m******m32@hotmail.com,151,43,30/01/2022,SN0197,m******m32@hotmail.com,14,21/12/2021,direct
1,1,Mr Sam Simmons,male,"Studio 77U, Arthur lock, Tomchester, NP19 9TL",25/09/1995,m*******sa@gmail.com,164,53,29/01/2022,SN0001,m*******sa@gmail.com,15,22/12/2021,direct
23,23,Mr William Taylor,male,"6 Bates view, Kellyville, LS29 8DD",28/03/1943,m****wi@gmail.com,165,49,02/03/2022,SN0023,m****wi@gmail.com,10,22/12/2021,offline
226,226,Stanley Gray-Atkins,male,"48 Neil harbors, North Hazelton, CT20 1DA",13/07/1957,s******gr@gmail.com,170,66,29/01/2022,SN0226,s******gr@gmail.com,20,22/12/2021,direct
80,80,Victor Houghton,male,"715 Robert vista, East Conor, FY1 9SZ",18/03/1967,v*******h99@gmail.com,153,32,31/01/2022,SN0080,v*******h99@gmail.com,10,23/12/2021,direct
115,115,Frank Williams,male,"473 Lewis ferry, Judithchester, B70 8HP",03/12/1984,f******wi@gmail.com,171,76,29/01/2022,SN0115,f******wi@gmail.com,8,23/12/2021,google ads
243,243,Dr Neil Hayward,male,"Flat 6, Davison spurs, Abdulstad, DL13 1DQ",20/04/1977,d******ne@hotmail.com,185,88,17/01/2022,SN0243,d******ne@hotmail.com,7,23/12/2021,social media
111,111,Luke Murray-Stanley,male,"27 Storey landing, Jamesfurt, SE16 7EH",01/12/1961,l******m@gmail.com,181,78,19/01/2022,SN0111,l******m@gmail.com,15,25/12/2021,direct
146,146,Julian Bryant,male,"12 Charles spring, West Frank, SY5 8EB",12/12/1947,j******br@hotmail.com,173,65,26/01/2022,SN0146,j******br@hotmail.com,16,25/12/2021,direct
56,56,Miss Anna Burton,female,"Flat 85, Dale drive, Marionborough, CB25 9LT",23/05/1968,m****an75@yahoo.com,188,63,25/01/2022,SN0056,m****an75@yahoo.com,17,27/12/2021,offline
24,24,Lydia Ali,female,"Flat 07, Ashleigh plain, Harrisfort, GL2 0SS",25/09/1960,l****a@gmail.com,185,61,29/01/2022,SN0024,l****a@gmail.com,15,28/12/2021,offline
230,230,Derek Miller,male,"673 Hilton field, Longmouth, TS25 4DH",01/03/1968,d*******m@hotmail.com,166,57,20/01/2022,SN0230,d*******m@hotmail.com,6,28/12/2021,direct
127,127,Olivia Bradley,female,"Studio 17, Page manor, Wardview, CO2 8BN",24/11/1967,o******b@yahoo.com,160,46,13/01/2022,SN0127,o******b@yahoo.com,4,30/12/2021,offline
202,202,Benjamin Whitehead,male,"Flat 11Y, Raymond circle, Kyletown, PE25 3DG",05/05/1947,b*****w64@gmail.com,169,59,30/01/2022,SN0202,b*****w64@gmail.com,14,30/12/2021,google ads
0,0,Mrs Katie Hudson,female,"979 Marcus mall, Mitchellside, HP23 5HR",23/10/1960,m*****ka@yahoo.com,171,49,02/03/2022,SN0000,m*****ka@yahoo.com,8,31/12/2021,offline
223,223,Dr Jacob Thomas,male,"43 Tracy orchard, Lake Christine, DN41 7PS",31/12/1965,d****j48@yahoo.com,161,62,16/01/2022,SN0223,d****j48@yahoo.com,5,01/01/2022,direct
234,234,Philip Summers,male,"729 Melissa manor, Burgessborough, KT15 2TW",06/10/1987,p****su22@hotmail.com,164,64,14/01/2022,SN0234,p****su22@hotmail.com,13,01/01/2022,offline
238,238,Miss Caroline Scott,female,"12 Todd squares, Tuckerchester, BB8 0BP",29/10/2001,m****c@yahoo.com,154,42,14/02/2022,SN0238,m****c@yahoo.com,9,02/01/2022,social media
168,168,Nicola Webb-Greenwood,female,"358 Sharp meadows, North Mollyburgh, PL14 4HG",18/09/1960,n*****w@hotmail.com,167,52,18/01/2022,SN0168,n*****w@hotmail.com,9,03/01/2022,direct
41,41,Neil Thomas-Holt,male,"702 Duncan curve, Nigelmouth, GU2 7UX",23/09/1996,n*****th@gmail.com,156,48,15/01/2022,SN0041,n*****th@gmail.com,4,04/01/2022,google ads
40,40,Emma Lloyd,female,"Flat 2, Bruce avenue, Frederickburgh, KA1 4EE",05/12/1954,e*****ll@gmail.com,154,49,15/02/2022,SN0040,e*****ll@gmail.com,8,05/01/2022,google ads
81,81,Mr Gordon Ross,male,"01 Lloyd terrace, North Alexandra, NG8 4BP",25/03/1957,m****go@yahoo.com,187,55,25/01/2022,SN0081,m****go@yahoo.com,7,05/01/2022,social media
25,25,Dr Declan Smith,male,"07 Newton light, New Sara, DE1 3TF",15/12/1993,d*******d28@hotmail.com,162,60,23/01/2022,SN0025,d*******d28@hotmail.com,16,06/01/2022,direct
26,26,Richard Stephens-Evans,male,"71 Tracy glens, North George, IP22 4AG",05/12/2000,r*******st@gmail.com,159,55,16/02/2022,SN0026,r*******st@gmail.com,15,06/01/2022,google ads
102,102,Kerry Hicks,female,"Studio 8, Jay square, West Allanside, LU7 0HB",11/02/1960,k*******h@gmail.com,160,51,14/02/2022,SN0102,k*******h@gmail.com,8,07/01/2022,social media
209,209,Antony Green,male,"54 Molly keys, Westport, SP9 7EY",30/09/1956,a******gr34@gmail.com,161,59,13/02/2022,SN0209,a******gr34@gmail.com,12,07/01/2022,social media
32,32,Thomas Barrett,male,"488 George creek, Jeremyborough, EX14 1FW",14/09/1978,t****b93@hotmail.com,162,62,13/02/2022,SN0032,t****b93@hotmail.com,10,08/01/2022,social media
235,235,Adrian King-Ferguson,male,"Flat 94, Barbara knolls, Brianfort, ME9 8JZ",24/04/1967,a******ki@yahoo.com,157,49,19/01/2022,SN0235,a******ki@yahoo.com,8,08/01/2022,social media
14,14,Lee Fuller,male,"882 Green mews, Kevinfurt, BR5 1AU",20/12/1964,l****f@hotmail.com,178,82,20/02/2022,SN0014,l****f@hotmail.com,8,09/01/2022,google ads
163,163,Rosie Field-Khan,female,"0 Metcalfe shore, Mauriceville, SP7 8QA",20/04/1951,r*****f@gmail.com,161,49,18/02/2022,SN0163,r*****f@gmail.com,7,09/01/2022,offline
86,86,Andrea Howells,female,"62 Farrell square, Bernardview, BH17 7HZ",14/02/1998,a*****h@yahoo.com,156,51,21/02/2022,SN0086,a*****h@yahoo.com,11,10/01/2022,offline
116,116,Alice Bell,female,"Flat 4, Baker ranch, Port Clare, BT66 8BW",09/05/1999,a*****be@yahoo.com,156,60,15/02/2022,SN0116,a*****be@yahoo.com,8,11/01/2022,google ads
134,134,Teresa Hall-Pearce,female,"838 Lowe street, Morrisfort, M34 5JY",07/05/1950,t*******h32@gmail.com,170,66,19/02/2022,SN0134,t*******h32@gmail.com,12,11/01/2022,google ads
191,191,Caroline Lewis,female,"5 Phillips manor, New Maureenport, MK44 2LB",04/11/1982,c*****l@gmail.com,180,68,17/02/2022,SN0191,c*****l@gmail.com,12,11/01/2022,social media
211,211,Eileen Burke,female,"Flat 9, Keith estate, Robertview, PR7 6LE",31/03/1945,e*******bu@gmail.com,151,61,29/01/2022,SN0211,e*******bu@gmail.com,8,11/01/2022,offline
96,96,Vincent Lee,male,"903 Pearson underpass, Gregoryberg, WA6 6TY",29/11/1974,v******l@gmail.com,164,59,15/02/2022,SN0096,v******l@gmail.com,6,12/01/2022,direct
39,39,Dr Joel Clarke,male,"Flat 80j, Robin oval, Simonview, PR9 9XP",18/04/1967,d*******jo30@gmail.com,166,71,02/03/2022,SN0039,d*******jo30@gmail.com,6,13/01/2022,google ads
144,144,Mrs Katie Williams,female,"08 Jodie green, West Amanda, B61 9AU",18/03/1959,m******k54@hotmail.com,169,59,22/01/2022,SN0144,m******k54@hotmail.com,10,14/01/2022,direct
110,110,Gareth Carey-Farmer,male,"Studio 9, Gordon roads, Hutchinsonborough, CT6 5BH",09/06/1965,g****ca@gmail.com,162,47,28/02/2022,SN0110,g****ca@gmail.com,7,15/01/2022,offline
174,174,Kimberley Quinn,female,"866 Abigail mills, South Amelia, SK9 2SX",16/08/1976,k****q@yahoo.com,180,61,02/02/2022,SN0174,k****q@yahoo.com,10,15/01/2022,social media
177,177,Mrs Amanda Chapman,female,"Flat 56a, Toby brook, Leontown, LD3 9PW",08/01/1984,m*******a61@gmail.com,172,59,29/01/2022,SN0177,m*******a61@gmail.com,10,15/01/2022,google ads
123,123,Mr Damien Ellis,male,"07 Parker springs, East Anthony, DH6 3EP",18/10/1946,m*******d@gmail.com,155,60,14/02/2022,SN0123,m*******d@gmail.com,4,16/01/2022,offline
212,212,Paula Whitehead,female,"Flat 33, Elliot common, Port Clive, DL3 8DE",10/09/1949,p*****wh@gmail.com,152,55,19/02/2022,SN0212,p*****wh@gmail.com,7,16/01/2022,offline
105,105,Ruth Harris,female,"64 Kenneth station, West Shaneville, TQ11 0PG",03/01/1978,r*******ha29@yahoo.com,159,58,14/02/2022,SN0105,r*******ha29@yahoo.com,6,18/01/2022,offline
214,214,Karen Houghton-Sharpe,female,"242 Greenwood lodge, New Louise, NP12 1SL",24/05/1999,k*******ho@gmail.com,182,72,27/01/2022,SN0214,k*******ho@gmail.com,8,18/01/2022,google ads
222,222,Dr Harry Price,male,"Flat 7, Eric stravenue, North Jayborough, LL55 2UB",14/06/1998,d*******h@yahoo.com,184,74,21/02/2022,SN0222,d*******h@yahoo.com,7,18/01/2022,google ads
